"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"F1_to_F2","ipaq_direction","M3","phase_fct2",NA,0,NA,NA,NA,NA,NA,6070,932
"F1_to_F2","ipaq_direction","M3","phase_fct3",0.0341949632517285,0.0872270642732476,0.392022401953244,0.695041661579259,1.03478633237114,0.872173470148761,1.22771763910622,6070,932
"F1_to_F2","ipaq_direction","M3","edu_fctjunior_college",-0.0698891752525172,0.19385044371283,-0.360531417488272,0.718449766324664,0.932497157941694,0.637737154979214,1.36349425900656,6070,932
"F1_to_F2","ipaq_direction","M3","edu_fctsenior_middle",-0.074877268226454,0.1613846170408,-0.463967815516916,0.6426708045486,0.927857356919653,0.676254830833633,1.27306931579128,6070,932
"F1_to_F2","ipaq_direction","M3","edu_fctjunior_middle",-0.0198504989303758,0.156556918784198,-0.126794133945229,0.899103338698916,0.980345225011404,0.721302681938711,1.33241811553991,6070,932
"F1_to_F2","ipaq_direction","M3","edu_fctprimary",0.15231646132563,0.155515037379749,0.97943236803327,0.327366390500902,1.16452870642395,0.858569702428288,1.57951894208464,6070,932
"F1_to_F2","ipaq_direction","M3","edu_fctlt_primary",0.0865591232255811,0.188506206528043,0.459184473656597,0.646101699221259,1.09041583471339,0.75359043181883,1.57778899836077,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fct30000_band",0.0649194199946138,0.119924787433656,0.541334459571405,0.588277072844666,1.06707303616877,0.843556122256047,1.34981518653815,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fct20000_band",0.0607284230141051,0.119857012658751,0.50667392476239,0.612383629250154,1.06261029449678,0.840139772552161,1.3439914105488,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fct10000_band",0.127547760187081,0.133296231691737,0.956874463503593,0.338630621849122,1.13603912438662,0.874845435646397,1.47521475171617,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fct5000_band",0.338740113073092,0.179060258873038,1.89176601890917,0.0585221627206648,1.40317863004036,0.987862712962752,1.99310110804454,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fctlt5000",-0.425992347751719,0.371565983315422,-1.14647832923418,0.251597288874382,0.653121339948204,0.315294456917379,1.35291780536287,6070,932
"F1_to_F2","ipaq_direction","M3","incomeh_fctnotknow",0.0325204665415225,0.121049936369194,0.268653313805448,0.788196481459339,1.0330550359914,0.814864816297346,1.30966840884902,6070,932
"F1_to_F2","ipaq_direction","M3","marital_fctseparate",-0.324061558304295,0.358615679383804,-0.903645816215059,0.366183238783966,0.723205721691663,0.358102731521958,1.46054880303388,6070,932
"F1_to_F2","ipaq_direction","M3","marital_fctwidow",-0.077850344771897,0.0977578544317563,-0.796358975188469,0.425823416110414,0.925102862664367,0.763797773928516,1.12047368521121,6070,932
"F1_to_F2","ipaq_direction","M3","marital_fctnever_married",0.570624347634564,0.454139106565096,1.25649682968399,0.208935894641926,1.76937140950037,0.726532584813367,4.30906369541781,6070,932
"F1_to_F2","ipaq_direction","M3","smk_fctex_occasional",0.220403258315805,0.138960708370734,1.58608329577444,0.112720415596576,1.24657932272154,0.949371848341397,1.63682966853477,6070,932
