"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S3_M3_ic5_hxht_hxdm","marital_fctnever_married",-0.10416072971847,0.463987530944731,-0.224490364011264,0.822375764001606,0.901080455373394,0.362924817807645,2.23722916487421,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","smk_fctex_occasional",0.0931721881369396,0.133571495312075,0.697545445001217,0.485461509461591,1.09765072142976,0.844827231717235,1.42613431601425,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","smk_fctex_daily",0.259581390082217,0.119357227379866,2.17482758087262,0.0296430394276626,1.29638729248626,1.02597719881365,1.63806760429295,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","smk_fctcurrent",0.646172783600286,0.11426908349811,5.65483474461378,1.55996290025642e-08,1.90822365088242,1.52532804041786,2.38723566688614,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","drk1_fctlt1_month",-0.00759131284939008,0.080135741040545,-0.0947306751122352,0.924528752318279,0.992437428392095,0.848186719648572,1.16122078600995,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","drk1_fctlt1_week",-0.358776576945326,0.207779275336244,-1.72671974317327,0.084218008139884,0.698530401714434,0.464861171754397,1.04965686912033,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","drk1_fct1to4_week",-0.0958639401486163,0.162408689799025,-0.590263613771188,0.555013929620805,0.908587629956973,0.660882561441582,1.24913491363745,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","drk1_fctge5_week",0.0688806746078467,0.126939260287488,0.542627036362493,0.587386620086816,1.07130836723007,0.835340624500689,1.37393248219332,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","drk1_fctex_drinker",0.130953820274527,0.163735876771856,0.799786967012695,0.42383423539789,1.13991513912831,0.826990061821294,1.57124805291156,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","walk_any_fctyes",0.118064101767038,0.186370593202606,0.63349104458067,0.526413027155324,1.12531624381511,0.780972337825261,1.62148719904788,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","bmi",-0.0235192709283046,0.0107861048343593,-2.18051569954925,0.0292192563810833,0.976755151508979,0.956322912925578,0.99762393340624,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","hxht_fctyes",0.124029021286475,0.0764838779779911,1.62163614823722,0.104881277921741,1.13204872403278,0.974455305666439,1.31512887880249,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","hxdm_fctyes",0.415891334942583,0.103366174607916,4.02347611798658,5.73454016001986e-05,1.51572115399513,1.23775264907498,1.85611448166583,5112,908
